"id";"SimpName";"TradName";"EngName";"price";"birthday";"weight";"height";"IdioFoot";"nationality";"contract"
1;"阿利松.贝克尔";"艾利臣碧卡";"Alisson Becker";"7200万英镑";"1992-10-02";91;191;"	右脚";"巴西、德国";"2024-06-30"
2;"C.阿德里安";"C.阿祖安";"Adrian San Miguel del Castillo";"315万英镑";"1987-01-03";77;190;"右脚";"西班牙";"2021-06-30"
